,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21959,78628,0025900297,"MAR 09, 1960",SYR vs. PHW,W,0,2,11.0,0.182,,,,5,6,0.833,,,9.0,3.0,,,,4.0,9,,0
1,21959,78628,0025900291,"MAR 06, 1960",SYR @ BOS,L,43,12,27.0,,,,,4,5,,,,8.0,1.0,,,,2.0,28,,0
2,21959,78628,0025900289,"MAR 05, 1960",SYR vs. NYK,W,0,8,,,,,,0,1,,,,,,,,,2.0,16,,0
3,21959,78628,0025900286,"MAR 03, 1960",SYR vs. BOS,W,0,7,,,,,,0,0,,,,,,,,,1.0,14,,0
4,21959,78628,0025900279,"MAR 01, 1960",SYR @ NYK,W,0,9,,,,,,5,6,,,,,,,,,3.0,23,,0
5,21959,78628,0025900274,"FEB 27, 1960",SYR vs. NYK,W,0,8,,,,,,8,9,,,,,,,,,4.0,24,,0
6,21959,78628,0025900270,"FEB 25, 1960",SYR vs. STL,W,0,5,,,,,,5,5,1.0,,,,,,,,5.0,15,,0
7,21959,78628,0025900266,"FEB 24, 1960",SYR @ DET,L,0,5,,,,,,7,8,,,,,,,,,5.0,17,,0
8,21959,78628,0025900262,"FEB 23, 1960",SYR @ CIN,L,0,11,,,,,,8,11,,,,7.0,,,,,5.0,30,,0
9,21959,78628,0025900258,"FEB 21, 1960",SYR vs. DET,W,0,11,,,,,,4,5,0.8,,,11.0,,,,,2.0,26,,0
10,21959,78628,0025900253,"FEB 20, 1960",SYR vs. NYK,W,0,9,14.0,0.643,,,,4,5,0.8,,,6.0,0.0,,,,2.0,22,,0
11,21959,78628,0025900249,"FEB 18, 1960",SYR vs. PHW,W,0,11,24.0,0.458,,,,7,8,0.875,,,7.0,2.0,,,,6.0,29,,0
12,21959,78628,0025900248,"FEB 17, 1960",SYR @ PHW,L,0,4,7.0,,,,,2,2,1.0,,,3.0,3.0,,,,1.0,10,,0
13,21959,78628,0025900244,"FEB 16, 1960",SYR @ NYK,L,0,9,,,,,,0,0,0.0,,,,,,,,4.0,18,,0
14,21959,78628,0025900240,"FEB 14, 1960",SYR @ MNL,W,0,11,,,,,,9,10,0.9,,,,,,,,4.0,31,,0
15,21959,78628,0025900232,"FEB 10, 1960",SYR vs. MNL,W,0,10,19.0,,,,,10,14,0.714,,,,,,,,4.0,30,,0
16,21959,78628,0025900226,"FEB 09, 1960",SYR vs. CIN,W,0,3,,,,,,5,5,1.0,,,7.0,,,,,4.0,11,,0
17,21959,78628,0025900222,"FEB 07, 1960",SYR vs. CIN,W,0,8,,,,,,3,3,1.0,,,8.0,,,,,3.0,19,,0
18,21959,78628,0025900218,"FEB 06, 1960",SYR @ PHW,L,0,6,13.0,0.462,,,,1,2,0.5,,,5.0,2.0,,,,6.0,13,,0
19,21959,78628,0025900216,"FEB 05, 1960",SYR @ BOS,L,32,9,21.0,,,,,1,1,1.0,,,10.0,1.0,,,,3.0,19,,0
20,21959,78628,0025900214,"FEB 04, 1960",SYR vs. PHW,W,0,9,17.0,0.529,,,,4,4,1.0,,,12.0,2.0,,,,1.0,22,,0
21,21959,78628,0025900210,"FEB 02, 1960",SYR @ NYK,W,0,6,,,,,,3,4,0.75,,,,,,,,3.0,15,,0
22,21959,78628,0025900205,"JAN 31, 1960",SYR @ STL,L,0,5,13.0,0.385,,,,7,7,1.0,,,7.0,,,,,3.0,17,,0
23,21959,78628,0025900200,"JAN 29, 1960",SYR @ MNL,W,0,4,,,,,,4,6,0.667,,,,,,,,4.0,12,,0
24,21959,78628,0025900196,"JAN 27, 1960",SYR @ DET,W,23,6,10.0,,,,,10,14,0.714,,,7.0,0.0,,,,3.0,22,,0
25,21959,78628,0025900192,"JAN 26, 1960",SYR vs. DET,L,0,10,18.0,,,,,10,10,1.0,,,,,,,,2.0,30,,0
26,21959,78628,0025900188,"JAN 24, 1960",SYR vs. BOS,L,0,10,,,,,,9,9,1.0,,,,,,,,3.0,29,,0
27,21959,78628,0025900183,"JAN 23, 1960",SYR @ BOS,L,27,9,14.0,,,,,2,4,0.5,,,12.0,0.0,,,,2.0,20,,0
