,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22019,1626209,0021901309,"AUG 13, 2020",POR @ BKN,W,11,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-6,1
1,22019,1626209,0021901300,"AUG 11, 2020",POR @ DAL,W,22,1,5,0.2,0,3,0.0,1,2,0.5,0,5,5,4,1,0,0,3,3,7,1
2,22019,1626209,0021901289,"AUG 09, 2020",POR vs. PHI,W,25,5,10,0.5,2,5,0.4,0,0,0.0,1,6,7,2,2,0,0,3,12,-6,1
3,22019,1626209,0021901280,"AUG 08, 2020",POR vs. LAC,L,11,1,2,0.5,0,1,0.0,2,2,1.0,1,2,3,0,0,0,1,4,4,-9,1
4,22019,1626209,0021901245,"AUG 02, 2020",POR @ BOS,L,12,1,2,0.5,0,1,0.0,0,0,0.0,2,0,2,0,2,0,1,1,2,-16,1
5,22019,1626209,0021901234,"JUL 31, 2020",POR vs. MEM,W,23,2,5,0.4,1,2,0.5,3,4,0.75,0,4,4,2,3,0,2,4,8,5,1
6,22019,1626209,0021900966,"MAR 10, 2020",POR vs. PHX,W,14,3,3,1.0,2,2,1.0,0,0,0.0,1,3,4,0,1,0,4,2,8,3,1
7,22019,1626209,0021900945,"MAR 07, 2020",POR vs. SAC,L,23,7,11,0.636,2,4,0.5,0,0,0.0,1,2,3,1,1,0,1,1,16,1,1
8,22019,1626209,0021900938,"MAR 06, 2020",POR @ PHX,L,13,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,3,0,1,0,0,3,0,1
9,22019,1626209,0021900925,"MAR 04, 2020",POR vs. WAS,W,16,1,3,0.333,1,1,1.0,0,0,0.0,0,2,2,1,0,2,2,0,3,-13,1
10,22019,1626209,0021900904,"MAR 02, 2020",POR @ ORL,W,28,4,6,0.667,0,1,0.0,2,2,1.0,0,8,8,4,1,0,0,1,10,22,1
11,22019,1626209,0021900888,"FEB 29, 2020",POR @ ATL,L,13,4,5,0.8,0,1,0.0,0,0,0.0,1,3,4,2,0,0,1,1,8,5,1
12,22019,1626209,0021900862,"FEB 25, 2020",POR vs. BOS,L,15,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,2,-9,1
13,22019,1626209,0021900848,"FEB 23, 2020",POR vs. DET,W,12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-11,1
14,22019,1626209,0021900792,"FEB 09, 2020",POR vs. MIA,W,5,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-7,1
15,22019,1626209,0021900776,"FEB 07, 2020",POR @ UTA,L,27,4,8,0.5,2,5,0.4,1,2,0.5,2,4,6,1,3,1,0,4,11,-3,1
16,22019,1626209,0021900767,"FEB 06, 2020",POR vs. SAS,W,13,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,1,2,-12,1
17,22019,1626209,0021900753,"FEB 04, 2020",POR @ DEN,L,12,3,5,0.6,0,1,0.0,3,4,0.75,0,0,0,1,0,0,1,0,9,-2,1
18,22019,1626209,0021900726,"JAN 31, 2020",POR @ LAL,W,11,0,4,0.0,0,2,0.0,1,2,0.5,0,2,2,0,0,1,0,3,1,-5,1
19,22019,1626209,0021900668,"JAN 23, 2020",POR vs. DAL,L,14,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-17,1
20,22019,1626209,0021900652,"JAN 20, 2020",POR vs. GSW,W,19,1,2,0.5,1,2,0.5,2,2,1.0,1,1,2,0,1,0,2,2,5,13,1
21,22019,1626209,0021900635,"JAN 18, 2020",POR @ OKC,L,29,1,4,0.25,0,1,0.0,2,2,1.0,1,7,8,0,1,0,3,4,4,-2,1
22,22019,1626209,0021900625,"JAN 17, 2020",POR @ DAL,L,19,3,5,0.6,0,0,0.0,1,1,1.0,2,1,3,0,0,0,1,3,7,-9,1
23,22019,1626209,0021900583,"JAN 11, 2020",POR vs. MIL,L,11,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,-12,1
24,22019,1626209,0021900565,"JAN 09, 2020",POR @ MIN,L,10,1,3,0.333,0,0,0.0,3,3,1.0,1,3,4,2,1,0,0,1,5,-12,1
25,22019,1626209,0021900549,"JAN 07, 2020",POR @ TOR,W,12,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,1,1,0,0,4,5,-9,1
26,22019,1626209,0021900535,"JAN 05, 2020",POR @ MIA,L,20,4,6,0.667,1,2,0.5,1,1,1.0,0,1,1,1,2,2,1,1,10,-7,1
27,22019,1626209,0021900519,"JAN 03, 2020",POR @ WAS,W,18,4,7,0.571,0,3,0.0,2,3,0.667,0,0,0,0,1,0,0,4,10,-6,1
28,22019,1626209,0021900428,"DEC 20, 2019",POR vs. ORL,W,11,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,4,0,0,1
29,22019,1626209,0021900400,"DEC 16, 2019",POR @ PHX,W,5,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,-6,1
