,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21998,65,0029800667,"APR 29, 1999",BOS @ MIA,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,6.0,0
1,21998,65,0029800651,"APR 27, 1999",BOS vs. DET,L,15,0,4,0.0,0,4,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,9.0,0
2,21998,65,0029800633,"APR 25, 1999",BOS vs. WAS,W,10,2,3,0.667,0,0,0.0,0,0,0.0,2,2,4,2,0,1,0,0,4,7.0,0
3,21998,65,0029800620,"APR 23, 1999",BOS @ CHI,W,20,3,8,0.375,0,1,0.0,0,0,0.0,0,3,3,2,1,0,2,4,6,4.0,0
4,21998,65,0029800614,"APR 22, 1999",BOS @ ATL,L,34,4,10,0.4,1,3,0.333,0,0,0.0,0,4,4,2,1,0,0,6,9,-8.0,0
5,21998,65,0029800601,"APR 21, 1999",BOS vs. PHI,L,34,6,15,0.4,0,0,0.0,2,2,1.0,2,4,6,2,1,1,0,3,14,6.0,0
6,21998,65,0029800586,"APR 19, 1999",BOS vs. IND,L,35,6,16,0.375,0,2,0.0,1,2,0.5,3,5,8,0,0,0,2,1,13,-16.0,0
7,21998,65,0029800577,"APR 18, 1999",BOS @ WAS,W,41,6,10,0.6,0,1,0.0,1,2,0.5,0,7,7,5,0,0,3,3,13,-7.0,0
8,21998,65,0029800559,"APR 16, 1999",BOS vs. MIA,W,26,4,5,0.8,0,0,0.0,4,4,1.0,0,3,3,0,0,0,0,0,12,12.0,0
9,21998,65,0029800543,"APR 14, 1999",BOS vs. ATL,L,13,0,1,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,1,0,0,1,3.0,0
10,21998,65,0029800528,"APR 12, 1999",BOS vs. CLE,W,22,1,4,0.25,0,0,0.0,0,1,0.0,0,2,2,0,1,0,1,1,2,-8.0,0
11,21998,65,0029800519,"APR 11, 1999",BOS vs. CHI,W,17,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,2,0,0,1,0,4,7.0,0
12,21998,65,0029800503,"APR 09, 1999",BOS vs. PHI,L,18,2,6,0.333,0,2,0.0,0,0,0.0,3,3,6,1,1,0,1,1,4,8.0,0
13,21998,65,0029800497,"APR 08, 1999",BOS @ TOR,W,15,1,6,0.167,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,2,0.0,0
14,21998,65,0029800487,"APR 07, 1999",BOS vs. WAS,W,24,3,4,0.75,1,1,1.0,0,1,0.0,1,3,4,3,0,0,3,1,7,10.0,0
