,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22021,1626171,0022101203,"APR 08, 2022",MIL @ DET,W,22,4,13,0.308,0,3,0.0,0,0,0.0,4,11,15,0,0,0,0,1,8,4,1
1,22021,1626171,0022101198,"APR 07, 2022",MIL vs. BOS,W,27,7,11,0.636,3,4,0.75,0,0,0.0,2,5,7,1,1,0,0,3,17,28,1
2,22021,1626171,0022101183,"APR 05, 2022",MIL @ CHI,W,26,6,11,0.545,1,4,0.25,0,0,0.0,2,7,9,2,0,0,1,2,13,9,1
3,22021,1626171,0022101167,"APR 03, 2022",MIL vs. DAL,L,23,7,13,0.538,3,6,0.5,0,0,0.0,2,6,8,0,1,0,0,1,17,11,1
4,22021,1626171,0022101156,"APR 01, 2022",MIL vs. LAC,L,26,12,20,0.6,0,4,0.0,1,1,1.0,3,5,8,3,1,0,1,3,25,-17,1
5,22021,1626171,0022101148,"MAR 31, 2022",MIL @ BKN,W,31,4,9,0.444,1,4,0.25,0,0,0.0,1,8,9,1,1,0,2,0,9,1,1
6,22021,1626171,0022101131,"MAR 29, 2022",MIL @ PHI,W,14,1,2,0.5,1,2,0.5,0,0,0.0,1,4,5,1,1,0,0,3,3,4,1
7,22021,1626171,0022101112,"MAR 26, 2022",MIL @ MEM,L,21,2,13,0.154,1,4,0.25,2,3,0.667,8,3,11,0,0,1,0,2,7,-15,1
8,22021,1626171,0022101097,"MAR 24, 2022",MIL vs. WAS,W,29,5,11,0.455,1,1,1.0,0,0,0.0,1,11,12,1,0,0,3,3,11,-7,1
9,22021,1626171,0022101082,"MAR 22, 2022",MIL vs. CHI,W,22,3,6,0.5,0,1,0.0,0,0,0.0,0,9,9,1,1,0,1,2,6,15,1
10,22021,1626171,0022101058,"MAR 19, 2022",MIL @ MIN,L,26,2,10,0.2,0,4,0.0,0,0,0.0,3,7,10,0,0,1,1,1,4,-7,1
11,22021,1626171,0022101043,"MAR 16, 2022",MIL @ SAC,W,30,5,7,0.714,0,2,0.0,2,2,1.0,1,5,6,3,1,1,0,2,12,13,1
12,22021,1626171,0022101027,"MAR 14, 2022",MIL @ UTA,W,28,3,9,0.333,1,5,0.2,0,0,0.0,2,4,6,1,0,1,1,0,7,-1,1
13,22021,1626171,0022101008,"MAR 12, 2022",MIL @ GSW,L,22,2,10,0.2,0,4,0.0,0,0,0.0,2,4,6,3,1,0,0,2,4,-17,1
14,22021,1626171,0022100984,"MAR 09, 2022",MIL vs. ATL,W,32,9,17,0.529,4,8,0.5,1,1,1.0,2,13,15,0,1,2,0,2,23,7,1
15,22021,1626171,0022100979,"MAR 08, 2022",MIL @ OKC,W,28,7,11,0.636,2,5,0.4,2,2,1.0,4,10,14,2,2,1,1,1,18,10,1
16,22021,1626171,0022100961,"MAR 06, 2022",MIL vs. PHX,W,32,2,8,0.25,2,5,0.4,3,4,0.75,4,2,6,0,0,0,2,2,9,11,1
17,22021,1626171,0022100949,"MAR 04, 2022",MIL @ CHI,W,31,5,9,0.556,2,4,0.5,0,0,0.0,1,6,7,0,1,1,1,3,12,1,1
18,22021,1626171,0022100936,"MAR 02, 2022",MIL vs. MIA,W,32,6,12,0.5,2,6,0.333,1,2,0.5,3,4,7,1,2,2,0,2,15,10,1
