,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22011,200081,0021100982,"APR 26, 2012",CHA vs. NYK,L,23,2,5,0.4,0,1,0.0,0,0,0.0,0,8,8,2,0,1,2,0,4,-12,0
1,22011,200081,0021100971,"APR 25, 2012",CHA @ ORL,L,11,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-8,0
2,22011,200081,0021100960,"APR 23, 2012",CHA @ WAS,L,22,1,6,0.167,0,4,0.0,2,2,1.0,0,1,1,1,0,1,2,1,4,-23,0
3,22011,200081,0021100953,"APR 22, 2012",CHA vs. SAC,L,14,3,5,0.6,1,2,0.5,0,0,0.0,0,3,3,2,1,0,2,1,7,-3,0
4,22011,200081,0021100937,"APR 20, 2012",CHA vs. MEM,L,9,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-7,0
5,22011,200081,0021100919,"APR 18, 2012",CHA vs. CHI,L,18,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,2,0,1,0,-23,0
6,22011,200081,0021100903,"APR 16, 2012",CHA vs. NOH,L,14,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-5,0
7,22011,200081,0021100895,"APR 15, 2012",CHA vs. BOS,L,13,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,1,0,-7,0
8,22010,200081,0021001228,"APR 13, 2011",LAC vs. MEM,W,15,2,6,0.333,1,2,0.5,2,2,1.0,2,1,3,0,0,0,0,1,7,7,0
9,22010,200081,0021001189,"APR 09, 2011",LAC @ HOU,L,23,2,5,0.4,1,2,0.5,0,0,0.0,0,4,4,0,0,0,0,1,5,-10,0
10,22010,200081,0021001186,"APR 08, 2011",LAC @ DAL,L,18,2,6,0.333,0,2,0.0,0,0,0.0,0,3,3,1,0,1,0,2,4,-7,0
11,22010,200081,0021001170,"APR 06, 2011",LAC @ OKC,L,16,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,3,0,3,0
12,22010,200081,0021001157,"APR 05, 2011",LAC @ MEM,W,21,4,7,0.571,0,3,0.0,0,0,0.0,2,3,5,0,0,0,0,2,8,-12,0
13,22010,200081,0021001137,"APR 02, 2011",LAC vs. OKC,W,14,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,5,-5,0
14,22010,200081,0021001129,"APR 01, 2011",LAC @ PHX,L,24,1,4,0.25,1,3,0.333,0,0,0.0,0,4,4,0,0,0,2,2,3,-8,0
15,22010,200081,0021001117,"MAR 30, 2011",LAC vs. DAL,L,15,1,1,1.0,1,1,1.0,0,0,0.0,1,3,4,0,0,0,0,3,3,0,0
16,22010,200081,0021001086,"MAR 26, 2011",LAC vs. TOR,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,0
17,22010,200081,0021001065,"MAR 23, 2011",LAC vs. WAS,W,20,0,2,0.0,0,1,0.0,2,2,1.0,2,2,4,0,0,1,0,0,2,12,0
18,22010,200081,0021001013,"MAR 16, 2011",LAC vs. PHI,L,15,1,1,1.0,1,1,1.0,1,2,0.5,0,3,3,0,1,1,1,1,4,7,0
19,22010,200081,0021000994,"MAR 14, 2011",LAC @ MEM,L,21,1,6,0.167,1,4,0.25,0,0,0.0,0,4,4,0,1,1,0,0,3,-8,0
20,22010,200081,0021000978,"MAR 12, 2011",LAC @ WAS,W,27,2,5,0.4,1,2,0.5,0,0,0.0,1,2,3,2,0,0,1,4,5,6,0
21,22010,200081,0021000968,"MAR 11, 2011",LAC @ NJN,L,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,1,0,3,5,0
