,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203518,0021800772,"FEB 01, 2019",OKC @ MIA,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8,1
1,22018,203518,0021800751,"JAN 29, 2019",OKC @ ORL,W,6,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,3,4,1
2,22018,203518,0021800493,"DEC 23, 2018",OKC vs. MIN,L,27,2,6,0.333,1,5,0.2,2,2,1.0,0,1,1,0,0,2,0,2,7,1,1
3,22018,203518,0021800485,"DEC 22, 2018",OKC @ UTA,W,16,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0,0,0,0,4,6,13,1
4,22018,203518,0021800466,"DEC 19, 2018",OKC @ SAC,W,23,3,7,0.429,3,7,0.429,0,0,0.0,0,1,1,1,0,0,0,4,9,6,1
5,22018,203518,0021800447,"DEC 17, 2018",OKC vs. CHI,W,14,3,4,0.75,2,3,0.667,0,0,0.0,2,1,3,0,1,0,0,1,8,4,1
6,22018,203518,0021800434,"DEC 15, 2018",OKC vs. LAC,W,20,2,4,0.5,0,2,0.0,2,2,1.0,0,4,4,0,0,0,0,0,6,7,1
7,22018,203518,0021800426,"DEC 14, 2018",OKC @ DEN,L,19,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1,1
8,22018,203518,0021800411,"DEC 12, 2018",OKC @ NOP,L,14,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,2,1,0,0,0,5,0,1
9,22018,203518,0021800396,"DEC 10, 2018",OKC vs. UTA,W,19,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,2,1,0,-12,1
10,22018,203518,0021800373,"DEC 07, 2018",OKC @ CHI,L,15,1,4,0.25,1,4,0.25,0,0,0.0,0,3,3,1,0,0,1,3,3,-15,1
11,22018,203518,0021800358,"DEC 05, 2018",OKC @ BKN,W,19,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,3,0,1,1,0,-10,1
12,22018,203518,0021800343,"DEC 03, 2018",OKC @ DET,W,18,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,-1,1
13,22018,203518,0021800325,"NOV 30, 2018",OKC vs. ATL,W,26,7,11,0.636,7,11,0.636,0,0,0.0,0,2,2,1,0,0,0,2,21,6,1
14,22018,203518,0021800313,"NOV 28, 2018",OKC vs. CLE,W,27,1,9,0.111,1,8,0.125,0,0,0.0,1,2,3,1,0,0,0,1,3,13,1
15,22018,203518,0021800282,"NOV 24, 2018",OKC vs. DEN,L,8,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-9,1
