,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21976,600001,0027600556,"FEB 08, 1977",CLE @ HOU,L,10,0,0.0,,,,,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,0.0,0,,0
1,21976,600001,0027600535,"FEB 04, 1977",CLE @ KCK,W,15,3,5.0,,,,,0,0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,,2.0,6,,0
2,21976,600001,0027600518,"FEB 01, 1977",CLE @ SAN,L,24,2,4.0,,,,,1,3,0.333,1.0,8.0,9.0,3.0,1.0,2.0,,2.0,5,,0
3,21976,600001,0027603020,"JAN 27, 1977",CLE vs. NYK,W,21,4,7.0,,,,,2,4,0.5,4.0,1.0,5.0,4.0,1.0,2.0,,5.0,10,,0
4,21976,600001,0027600491,"JAN 26, 1977",CLE @ CHI,L,14,2,4.0,,,,,2,2,1.0,1.0,8.0,9.0,1.0,1.0,1.0,,6.0,6,,0
5,21976,600001,0027603019,"JAN 22, 1977",CLE vs. MIL,W,26,0,3.0,,,,,3,4,0.75,4.0,8.0,12.0,6.0,0.0,0.0,,1.0,3,,0
6,21976,600001,0027603018,"JAN 20, 1977",CLE vs. POR,L,24,3,6.0,,,,,0,0,0.0,4.0,5.0,9.0,0.0,0.0,3.0,,5.0,6,,0
7,21976,600001,0027600445,"JAN 18, 1977",CLE @ MIL,W,21,2,5.0,,,,,0,0,0.0,,,9.0,2.0,0.0,4.0,,2.0,4,,0
8,21976,600001,0027600435,"JAN 15, 1977",CLE @ PHX,L,15,0,2.0,,,,,0,0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,,1.0,0,,0
9,21976,600001,0027600426,"JAN 14, 1977",CLE @ DEN,L,18,5,7.0,,,,,0,0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,,2.0,10,,0
10,21976,600001,0027600408,"JAN 11, 1977",CLE vs. LAL,L,22,2,5.0,,,,,0,0,0.0,6.0,6.0,12.0,5.0,2.0,1.0,,6.0,4,,0
11,21976,600001,0027603017,"JAN 08, 1977",CLE vs. WAS,W,14,0,3.0,,,,,2,2,1.0,0.0,4.0,4.0,4.0,2.0,1.0,,5.0,2,,0
12,21976,600001,0027600390,"JAN 07, 1977",CLE @ PHL,L,21,5,7.0,,,,,3,5,0.6,4.0,11.0,15.0,2.0,0.0,0.0,,1.0,13,,0
13,21976,600001,0027603016,"JAN 06, 1977",CLE vs. GOS,W,23,3,4.0,,,,,4,7,0.571,1.0,4.0,5.0,3.0,0.0,1.0,,3.0,10,,0
14,21976,600001,0027603015,"JAN 02, 1977",CLE vs. HOU,W,24,3,5.0,,,,,2,2,1.0,3.0,8.0,11.0,4.0,0.0,2.0,,2.0,8,,0
15,21976,600001,0027600358,"JAN 01, 1977",CLE @ NYK,L,21,2,5.0,,,,,2,2,1.0,,,8.0,0.0,,,,0.0,6,,0
