,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21997,112,0029700363,"DEC 21, 1997",POR @ VAN,L,6,0,3,0.0,0,0,0.0,1,2,0.5,2,2,4,0,0,0,1,2,1,-1.0,0
1,21997,112,0029700188,"NOV 26, 1997",POR @ MIN,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3.0,0
2,21997,112,0029700147,"NOV 20, 1997",POR @ DET,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
3,21996,112,0029601189,"APR 20, 1997",POR vs. LAL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.0,0
4,21996,112,0029601163,"APR 17, 1997",POR @ VAN,W,4,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,11.0,0
5,21996,112,0029601159,"APR 16, 1997",POR vs. DEN,W,18,6,11,0.545,1,3,0.333,0,1,0.0,5,2,7,0,0,1,4,3,13,5.0,0
6,21996,112,0029601111,"APR 10, 1997",POR @ SAS,W,3,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,-1.0,0
7,21996,112,0029601095,"APR 08, 1997",POR @ DAL,L,14,0,2,0.0,0,1,0.0,4,4,1.0,2,0,2,0,0,0,2,2,4,2.0,0
8,21996,112,0029601090,"APR 07, 1997",POR @ DEN,W,9,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,2,4,5.0,0
9,21996,112,0029601072,"APR 04, 1997",POR vs. MIL,W,5,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,0,0,2.0,0
10,21996,112,0029601023,"MAR 28, 1997",POR vs. VAN,W,14,2,8,0.25,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,4,2.0,0
11,21996,112,0029600993,"MAR 25, 1997",POR @ ATL,L,12,2,3,0.667,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,4,6,3.0,0
12,21996,112,0029600962,"MAR 20, 1997",POR @ MIL,W,8,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,-6.0,0
13,21996,112,0029600934,"MAR 16, 1997",POR @ LAC,W,4,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,5,-3.0,0
14,21996,112,0029600921,"MAR 14, 1997",POR vs. CLE,W,9,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,2,0,6.0,0
15,21996,112,0029600871,"MAR 07, 1997",POR vs. DAL,W,7,1,3,0.333,1,2,0.5,2,2,1.0,1,0,1,0,0,0,0,1,5,-8.0,0
