,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21961,78160,0026100360,"MAR 14, 1962",STL @ LAL,L,42,6,17.0,,,,,3,8,,,,4.0,,,,,4.0,15,,0
1,21961,78160,0026100355,"MAR 13, 1962",STL vs. CHP,L,16,5,8.0,,,,,2,2,,,,5.0,,,,,2.0,12,,0
2,21961,78160,0026100351,"MAR 11, 1962",STL vs. DET,W,14,2,3.0,,,,,5,7,,,,4.0,,,,,3.0,9,,0
3,21961,78160,0026100349,"MAR 10, 1962",STL vs. CIN,W,9,1,3.0,,,,,0,2,,,,1.0,,,,,1.0,2,,0
4,21961,78160,0026100344,"MAR 09, 1962",STL vs. CHP,W,0,3,12.0,,,,,0,3,0.0,,,1.0,,,,,3.0,6,,0
5,21961,78160,0026100340,"MAR 07, 1962",STL @ SYR,L,0,6,,,,,,1,2,,,,,,,,,5.0,13,,0
6,21961,78160,0026100336,"MAR 04, 1962",STL @ BOS,L,24,6,9.0,,,,,1,2,0.5,,,4.0,4.0,,,,3.0,13,,0
7,21961,78160,0026100321,"FEB 27, 1962",STL vs. PHW,L,24,3,4.0,,,,,3,6,,,,2.0,6.0,,,,2.0,9,,0
8,21961,78160,0026100313,"FEB 24, 1962",STL @ CHP,L,0,2,,,,,,2,2,1.0,,,,,,,,3.0,6,,0
9,21961,78160,0026100310,"FEB 23, 1962",STL @ NYK,L,0,0,1.0,0.0,,,,1,1,1.0,,,0.0,,,,,1.0,1,,0
10,21961,78160,0026100304,"FEB 21, 1962",STL vs. DET,L,17,3,9.0,0.333,,,,2,2,1.0,,,4.0,,,,,2.0,8,,0
11,21961,78160,0026100299,"FEB 20, 1962",STL @ CIN,L,20,0,8.0,0.0,,,,3,3,1.0,,,2.0,,,,,5.0,3,,0
12,21961,78160,0026100297,"FEB 18, 1962",STL @ DET,L,19,4,9.0,0.444,,,,1,2,0.5,,,3.0,,,,,3.0,9,,0
13,21961,78160,0026100285,"FEB 14, 1962",STL @ LAL,L,18,1,7.0,0.143,,,,1,3,0.333,,,2.0,,,,,1.0,3,,0
14,21961,78160,0026100279,"FEB 12, 1962",STL @ LAL,W,34,6,14.0,0.429,,,,0,1,0.0,,,4.0,,,,,4.0,12,,0
15,21961,78160,0026100278,"FEB 11, 1962",STL vs. CIN,W,16,1,4.0,0.25,,,,1,2,0.5,,,2.0,,,,,4.0,3,,0
16,21961,78160,0026100272,"FEB 10, 1962",STL @ CIN,L,13,0,1.0,0.0,,,,3,9,0.333,,,2.0,,,,,1.0,3,,0
17,21961,78160,0026100264,"FEB 06, 1962",STL vs. BOS,L,24,1,11.0,0.091,,,,1,3,0.333,,,2.0,,,,,4.0,3,,0
18,21961,78160,0026100252,"FEB 03, 1962",STL vs. LAL,L,12,1,2.0,0.5,,,,0,2,0.0,,,1.0,,,,,4.0,2,,0
19,21961,78160,0026100250,"FEB 02, 1962",STL @ SYR,L,0,1,,,,,,1,4,0.25,,,,,,,,0.0,3,,0
20,21961,78160,0026100239,"JAN 28, 1962",STL vs. DET,W,9,2,5.0,,,,,0,1,,,,1.0,,,,,2.0,4,,0
21,21961,78160,0026100232,"JAN 26, 1962",STL @ PHW,L,0,5,8.0,,,,,4,6,0.667,,,0.0,1.0,,,,2.0,14,,0
22,21961,78160,0026100224,"JAN 24, 1962",STL @ BOS,W,21,4,9.0,,,,,3,3,,,,3.0,0.0,,,,3.0,11,,0
23,21961,78160,0026100221,"JAN 23, 1962",STL vs. SYR,W,30,11,19.0,,,,,6,7,0.857,,,5.0,,,,,4.0,28,,0
24,21961,78160,0026100217,"JAN 21, 1962",STL vs. NYK,W,31,4,8.0,,,,,3,4,0.75,,,4.0,,,,,4.0,11,,0
25,21961,78160,0026100212,"JAN 20, 1962",STL vs. CHP,W,0,4,,,,,,3,3,1.0,,,,,,,,4.0,11,,0
26,21961,78160,0026100001,"JAN 19, 1962",STL @ CHP,W,45,10,16.0,,,,,7,8,0.875,,,7.0,,,,,5.0,27,,0
