,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21952,76702,0025200061,"NOV 25, 1952",MIH @ INO,W,0,0,,,,,,3,5,0.6,,,,,,,,0.0,3,,0
1,21952,76702,0025200059,"NOV 23, 1952",MIH vs. MNL,L,0,1,,,,,,0,0,0.0,,,,,,,,2.0,2,,0
2,21952,76702,0025200048,"NOV 20, 1952",MIH @ SYR,L,0,0,,,,,,0,2,0.0,,,,,,,,4.0,0,,0
3,21952,76702,0025200045,"NOV 19, 1952",MIH @ BOS,L,0,2,,,,,,3,4,0.75,,,,,,,,6.0,7,,0
4,21952,76702,0025200043,"NOV 18, 1952",MIH @ PHW,L,0,1,,,,,,2,4,0.5,,,,,,,,2.0,4,,0
5,21949,76702,0024900250,"JAN 01, 1950",BAL @ TCB,L,0,0,,,,,,0,0,0.0,,,,,,,,1.0,0,,0
6,21949,76702,0024900236,"DEC 29, 1949",BAL @ BOM,L,0,3,,,,,,4,9,0.444,,,,,,,,5.0,10,,0
7,21949,76702,0024900230,"DEC 28, 1949",BAL @ MNL,L,0,3,,,,,,2,5,0.4,,,,,,,,,8,,0
8,21949,76702,0024900224,"DEC 26, 1949",BAL @ BOS,L,0,2,,,,,,0,0,0.0,,,,,,,,,4,,0
9,21949,76702,0024900219,"DEC 25, 1949",BAL vs. PHW,L,0,2,,,,,,1,2,0.5,,,,,,,,2.0,5,,0
10,21949,76702,0024900208,"DEC 22, 1949",BAL vs. WAS,W,0,0,,,,,,0,0,0.0,,,,,,,,,0,,0
11,21949,76702,0024900204,"DEC 21, 1949",BAL @ PHW,L,0,1,,,,,,0,1,0.0,,,,,,,,,2,,0
12,21949,76702,0024900197,"DEC 20, 1949",BAL @ INO,W,0,0,,,,,,0,0,0.0,,,,,,,,,0,,0
13,21949,76702,0024900189,"DEC 17, 1949",BAL @ WAS,W,0,1,,,,,,0,0,0.0,,,,,,,,,2,,0
14,21949,76702,0024900183,"DEC 16, 1949",BAL @ WAT,L,0,0,,,,,,0,0,0.0,,,,,,,,,0,,0
15,21949,76702,0024900180,"DEC 15, 1949",BAL vs. MNL,W,0,2,,,,,,1,1,1.0,,,,,,,,,5,,0
