,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21986,78581,0028600337,"JAN 02, 1987",ATL @ WAS,W,1,0,1,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,,0
1,21986,78581,0028600314,"DEC 27, 1986",ATL vs. GOS,W,1,0,1,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
2,21986,78581,0028600046,"NOV 07, 1986",NJN vs. MIL,L,13,1,3,0.333,0,0.0,0.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,2,,0
3,21986,78581,0028600033,"NOV 05, 1986",NJN vs. SAN,L,4,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,0
4,21986,78581,0028600031,"NOV 04, 1986",NJN @ WAS,L,2,1,1,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,,0
5,21986,78581,0028600010,"NOV 01, 1986",NJN @ ATL,L,3,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,,0
6,21986,78581,0028600004,"OCT 31, 1986",NJN vs. NYK,W,21,1,4,0.25,0,0.0,0.0,2,2,1.0,1.0,1.0,2.0,5.0,1.0,0.0,3.0,3.0,4,,0
7,21984,78581,0028400363,"JAN 02, 1985",NJN vs. BOS,L,3,0,0,,0,0.0,,0,0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,0
8,21984,78581,0028400347,"DEC 28, 1984",NJN vs. NYK,W,15,1,1,1.0,0,0.0,,0,0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,,0
9,21984,78581,0028400335,"DEC 26, 1984",NJN vs. DET,W,19,1,4,0.25,0,0.0,,3,4,0.75,0.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,5,,0
10,21984,78581,0028400258,"DEC 12, 1984",CLE @ ATL,L,18,2,3,0.667,0,0.0,,3,4,0.75,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,7,,0
11,21984,78581,0028400252,"DEC 11, 1984",CLE vs. MIL,L,13,1,4,0.25,0,0.0,,4,4,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,6,,0
12,21984,78581,0028400235,"DEC 08, 1984",CLE vs. DEN,L,4,1,1,1.0,0,0.0,,0,0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,,0
13,21984,78581,0028400215,"DEC 04, 1984",CLE vs. LAL,L,15,0,3,0.0,0,0.0,,2,2,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,2,,0
14,21984,78581,0028400205,"DEC 02, 1984",CLE @ BOS,L,27,5,10,0.5,0,0.0,,1,2,0.5,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,11,,0
15,21984,78581,0028400197,"DEC 01, 1984",CLE vs. BOS,L,5,2,4,0.5,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,,0
16,21984,78581,0028400168,"NOV 27, 1984",CLE vs. POR,L,19,4,6,0.667,0,0.0,,2,2,1.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,10,,0
17,21984,78581,0028400165,"NOV 25, 1984",CLE vs. ATL,W,16,1,4,0.25,0,0.0,,1,2,0.5,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,3,,0
18,21984,78581,0028400152,"NOV 23, 1984",CLE vs. GOS,L,21,5,8,0.625,0,0.0,,3,5,0.6,3.0,0.0,3.0,1.0,1.0,0.0,3.0,4.0,13,,0
19,21984,78581,0028400147,"NOV 21, 1984",CLE vs. NYK,L,15,2,3,0.667,0,0.0,,3,3,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,7,,0
20,21984,78581,0028400124,"NOV 17, 1984",CLE @ NYK,L,22,4,8,0.5,0,0.0,,4,6,0.667,1.0,5.0,6.0,3.0,1.0,0.0,1.0,0.0,12,,0
21,21984,78581,0028400098,"NOV 13, 1984",NJN @ LAC,W,9,0,2,0.0,0,0.0,,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0
22,21984,78581,0028400090,"NOV 11, 1984",NJN @ LAL,L,11,2,4,0.5,0,0.0,,0,0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4,,0
23,21984,78581,0028400027,"OCT 30, 1984",NJN vs. PHL,L,4,0,4,0.0,0,0.0,,0,0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0,,0
24,21984,78581,0028400014,"OCT 27, 1984",NJN @ CLE,W,12,1,3,0.333,0,0.0,,1,2,0.5,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3,,0
25,21984,78581,0028400004,"OCT 26, 1984",NJN vs. ATL,L,19,4,5,0.8,0,0.0,,0,0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,8,,0
26,21983,78581,0028300473,"JAN 24, 1984",WAS vs. MIL,W,0,0,0,0.0,0,,,0,0,0.0,,,,,,,,,0,,0
27,21983,78581,0028300081,"NOV 11, 1983",WAS vs. CHI,W,1,0,0,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
28,21983,78581,0028300067,"NOV 09, 1983",WAS @ NJN,L,6,0,1,0.0,0,1.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,0
29,21983,78581,0028300061,"NOV 08, 1983",WAS vs. SDC,W,10,0,1,0.0,0,0.0,,0,0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0,,0
30,21983,78581,0028300036,"NOV 03, 1983",WAS vs. DET,W,4,0,0,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
31,21983,78581,0028300011,"OCT 29, 1983",WAS @ NYK,L,1,0,0,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
32,21983,78581,0028300003,"OCT 28, 1983",WAS @ PHL,L,4,0,0,,0,0.0,,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,,0
