,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22003,77,0020301188,"APR 14, 2004",LAC vs. SEA,L,23,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,3,1,0,3,1,4,-10.0,0
1,22003,77,0020301174,"APR 13, 2004",LAC @ PHX,W,26,2,10,0.2,0,3,0.0,0,1,0.0,0,4,4,4,0,0,0,3,4,-2.0,0
2,22003,77,0020301160,"APR 11, 2004",LAC vs. SAS,L,31,5,9,0.556,0,2,0.0,2,3,0.667,2,2,4,3,1,0,0,2,12,4.0,0
3,22003,77,0020301132,"APR 07, 2004",LAC vs. HOU,L,17,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,4,1.0,0
4,22003,77,0020301114,"APR 04, 2004",LAC vs. UTA,L,28,2,6,0.333,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,0,4,-9.0,0
5,22003,77,0020301096,"APR 02, 2004",LAC @ CHI,L,34,3,10,0.3,0,0,0.0,1,2,0.5,1,2,3,6,1,0,3,2,7,7.0,0
6,22003,77,0020301082,"MAR 31, 2004",LAC @ DET,L,34,6,10,0.6,0,0,0.0,4,4,1.0,3,2,5,3,0,0,3,5,16,-2.0,0
7,22003,77,0020301061,"MAR 28, 2004",LAC @ GSW,L,16,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,2,2,-13.0,0
8,22003,77,0020301055,"MAR 27, 2004",LAC vs. MIN,L,22,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,4,-5.0,0
9,22003,77,0020301037,"MAR 25, 2004",LAC vs. WAS,L,12,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,0.0,0
10,22003,77,0020301031,"MAR 24, 2004",LAC @ POR,L,13,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,2,4,-7.0,0
